0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,5.0,7.0,0.0,0.0,3.0,0.0,6.0,0.0
12.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0
0.0,12.0,3.0,0.0,12.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,4.0
0.0,3.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,7.0,6.0,10.0,0.0
0.0,2.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0
7.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0
7.0,4.0,3.0,0.0,12.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,10.0,2.0,0.0
0.0,3.0,5.0,8.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.0,0.0
8.0,5.0,4.0,1.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,10.0,0.0
0.0,5.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,0.0,7.0,0.0,10.0,0.0
8.0,5.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,7.0,0.0
8.0,1.0,4.0,6.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,2.0,0.0,12.0,0.0
0.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,4.0,0.0,0.0,12.0,7.0,3.0,0.0
0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,12.0,0.0,0.0,10.0,0.0,8.0,0.0
7.0,3.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,12.0,0.0,0.0,0.0,6.0,0.0
0.0,7.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,12.0,0.0
12.0,0.0,8.0,0.0,4.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,2.0,0.0,10.0,0.0
12.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0
2.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,8.0,3.0,6.0,0.0
8.0,5.0,1.0,0.0,0.0,7.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0
0.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,2.0,12.0,0.0
0.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,7.0,0.0,0.0,12.0,6.0,0.0,0.0
0.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,10.0,8.0,0.0,0.0,2.0,0.0,4.0,3.0
6.0,5.0,3.0,2.0,1.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,10.0,8.0,4.0,0.0,0.0,0.0,12.0,0.0
0.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,5.0,12.0,0.0,0.0,7.0,0.0,10.0,0.0
0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,12.0,12.0,0.0,6.0,8.0,0.0,0.0,7.0,0.0,10.0,0.0
0.0,12.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,1.0
7.0,5.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,7.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,8.0,0.0
0.0,8.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,10.0,6.0,0.0,0.0,7.0,0.0,4.0,0.0
2.0,7.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,12.0,8.0,0.0,0.0,10.0,0.0,12.0,0.0
12.0,4.0,8.0,6.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0
2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,0.0,7.0,10.0,0.0,0.0,4.0,0.0,12.0,0.0
2.0,6.0,0.0,0.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,7.0,0.0
0.0,3.0,6.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,12.0,0.0,5.0,0.0,7.0,0.0
6.0,4.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,8.0,0.0,12.0,1.0,0.0,7.0,0.0
0.0,12.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,8.0,0.0,1.0,12.0,2.0,7.0,0.0
0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,6.0,12.0,2.0,0.0,0.0,4.0,0.0
8.0,5.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,12.0,7.0,0.0
7.0,4.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0
0.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,10.0,7.0,0.0,4.0,1.0,0.0,5.0,12.0